School_code,School_name,Country,State,Town_suburb,Postcode,# Students,Level_of_schooling,County,Latitude,Longitude
3918,Killara Public School,Australia,New South Wales,Killara ,2071,428,Primary School,Ku-Ring-Gai,-33.765473,151.148436
3919,Castle Cove Public School,Australia,New South Wales,Castle Cove ,2069,463,Primary School,Willoughby,-33.783375,151.201973
3922,Albury North Public School,Australia,New South Wales,Albury ,2640,253,Primary School,Albury,-36.064177,146.932402
3923,Kapooka Public School,Australia,New South Wales,Kapooka ,2661,77,Primary School,Wagga Wagga,-35.15153,147.296973
3924,East Hills Public School,Australia,New South Wales,Panania ,2213,176,Primary School,Canterbury-Bankstown,-33.957953,150.991975
3925,Curl Curl North Public School,Australia,New South Wales,North Curl Curl ,2099,878,Primary School,Northern Beaches,-33.764639,151.289314
3927,Belmont North Public School,Australia,New South Wales,Belmont ,2280,183,Primary School,Lake Macquarie,-33.019974,151.671344
3928,Cabramurra Public School,Australia,New South Wales,Cabramurra ,2630,np,Primary School,Snowy Valleys,-35.931626,148.379008
3931,Seven Hills Public School,Australia,New South Wales,SEVEN HILLS,2147,143,Primary School,Blacktown,-33.770031,150.937488
3932,Waratah West Public School,Australia,New South Wales,Waratah West ,2298,84,Primary School,Newcastle,-32.897979,151.716258
3935,Crown Street Public School,Australia,New South Wales,Surry Hills ,2010,296,Primary School,Sydney,-33.882253,151.21522
3939,Mount Hutton Public School,Australia,New South Wales,Mount Hutton ,2290,155,Primary School,Lake Macquarie,-32.977049,151.66862
3943,Gordon West Public School,Australia,New South Wales,Pymble,2073,597,Primary School,Ku-Ring-Gai,-33.760318,151.139223
3944,Beverly Hills North Public School,Australia,New South Wales,Beverly Hills ,2209,558,Primary School,Canterbury-Bankstown,-33.940606,151.074837
3945,Finley Public School,Australia,New South Wales,Finley ,2713,176,Primary School,Berrigan,-35.639399,145.574959
3946,Maclean Public School,Australia,New South Wales,Maclean ,2463,153,Primary School,Clarence Valley,-29.457217,153.201309
3947,Quirindi Public School,Australia,New South Wales,Quirindi ,2343,288,Primary School,Liverpool Plains,-31.497558,150.678035
3948,Tempe Public School,Australia,New South Wales,Tempe ,2044,323,Primary School,Inner West,-33.920935,151.160994
3949,Maitland Public School,Australia,New South Wales,MAITLAND,2320,431,Primary School,Maitland,-32.73546,151.553306
3950,Manly Village Public School,Australia,New South Wales,Manly ,2095,720,Primary School,Northern Beaches,-33.7994,151.287627
3951,Marrickville West Public School,Australia,New South Wales,Marrickville ,2204,398,Primary School,Inner West,-33.914468,151.145073
3952,Marrickville Public School,Australia,New South Wales,Marrickville ,2204,324,Primary School,Inner West,-33.906705,151.162658
3953,Waverley Public School,Australia,New South Wales,Waverley ,2024,302,Primary School,Waverley,-33.898174,151.251539
3954,Wollongong Public School,Australia,New South Wales,WOLLONGONG,2500,479,Primary School,Wollongong,-34.422861,150.896726
3956,Beaumont Road Public School,Australia,New South Wales,Killara ,2071,400,Primary School,Ku-Ring-Gai,-33.774289,151.146271
